"Passenger rail transport by type of transport"

"Total"	"Passenger kilometres (millions)"	"North Macedonia"	..	..	..	..	..	..	..	..	..	..	..	..	355	200	109	66	67	65	120	141	150	150	176	133	98	92	..	94	105	109	148	154	155	145	99	80	80	177	83	59	..
"Total"	"Passenger kilometres (millions)"	"Norway"	1860	2238	2394	..	..	..	..	2241	..	..	..	..	2104	2150	2256	2316	2398	2381	2449	2561	2590	2674	2520	2592	..	..	..	..	..	..	3123	3080	3134	3076	3092	3260	3440	3555	3695	3584	3722
"Total"	"Passenger kilometres (millions)"	"Poland"	..	..	..	..	..	..	..	..	..	..	..	..	50373	40115	32571	30864	27610	20960	19807	19928	20553	21518	24093	22469	20749	19638	18690	18157	18552	19858	20195	18637	17921	18177	17826	16797	16015	17367	19175	20318	..
"Total"	"Passenger kilometres (millions)"	"Portugal"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5397	5149	4840	4503	4563	4602	4380	3834	3899	3926	..	3752	3809	3876	3987	4213	4152	4111	4143	3803	3649	3852	3957	4146	4391	..
"Total"	"Passenger kilometres (millions)"	"Republic of Moldova"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	1661	1204	1019	882	789	656	343	315	325	355	..	346	..	..	..	..	423	399	363	347	330	257	181	122	99	95
"Total"	"Passenger kilometres (millions)"	"Romania"	..	..	..	..	..	..	..	..	..	..	..	..	30582	25429	24269	19402	18313	18879	18356	15794	13422	12304	11632	10966	8502	8529	8638	7985	8092	7476	6958	6128	5437	5073	4571	4411	4976	5149	4988	5664	..
"Total"	"Passenger kilometres (millions)"	"Russian Federation"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	272167	227102	192217	181213	170318	125625	141042	167054	157901	..	..	..	..	177838	174085	175872	151000	138885	139842	144612	138517	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Serbia"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	684	687	583	522	522	541	540	613	453	509	..	377	..
"Total"	"Passenger kilometres (millions)"	"Slovakia"	..	..	..	..	..	..	..	..	..	..	..	..	6381	6002	5453	4569	4548	4200	3752	3057	3092	2968	2870	2805	2682	2316	2228	2182	2213	2165	2296	2264	2309	2431	2459	2485	2583	3411	3595	3873	..
"Total"	"Passenger kilometres (millions)"	"Slovenia"	..	..	..	..	..	..	..	..	..	..	..	..	1429	814	547	566	590	596	613	616	645	623	705	715	749	777	764	777	793	812	834	840	813	773	742	760	697	709	680	650	656
"Total"	"Passenger kilometres (millions)"	"Spain"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	15234	14853	15313	15605	16579	17478	18143	18571	19191	19480	..	19016	19809	20478	20584	22073	21700	20978	21398	21144	..	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Sweden"	..	..	..	..	..	..	..	..	..	..	..	..	6225	5609	5444	5830	5906	6219	6191	6814	6997	7458	6019	8732	8874	8834	8658	8936	9617	10261	11146	11321	11155	11378	11792	11842	12121	12650	12800	13331	13547
"Total"	"Passenger kilometres (millions)"	"Switzerland"	..	..	..	..	..	..	..	..	..	..	..	..	11061	12383	11504	11670	12085	10016	10226	10333	12148	12501	12620	13301	14147	14509	14914	16144	16578	17434	17776	18571	19177	19471	19262	19447	20010	20389	20812	20865	20590
"Total"	"Passenger kilometres (millions)"	"Tajikistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	366	124	85	130	121	61	..	..	..	..	..	..	..	..	..	45	33	..	24	..	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Turkey"	..	..	..	..	..	..	..	..	..	..	..	..	6410	6048	6259	7147	6335	5797	5229	5840	6161	6146	5832	5568	5204	5878	5236	5036	5277	5553	5097	5374	5491	5882	4598	3775	4393	4828	4325	4567	..
"Total"	"Passenger kilometres (millions)"	"Turkmenistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	1899	1995	2125	1484	1876	2104	958	571	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
"Total"	"Passenger kilometres (millions)"	"Ukraine"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	75896	70882	63759	59079	54554	49938	47600	51767	49661	..	..	..	..	..	..	..	48327	50248	50594	49329	48981	35865	35367	36839	..	..
"Total"	"Passenger kilometres (millions)"	"United Kingdom"	..	..	..	..	..	..	..	..	..	..	..	..	33191	32058	31878	30357	28655	30039	32135	34950	36517	38738	38421	39327	39728	..	41700	..	47037	50267	52690	52765	55831	56381	58709	61950	64711	66400	68010	68912	..
"Total"	"Passenger kilometres (millions)"	"United States"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	22171	22605	22079	21866	22746	23490	23911	25977	25198	24410	25044	24777	25394	27296	30358	32143	30907	31872	32580	34126	36041	36393	35897	35828	33259	31963
"Total"	"Passenger kilometres (millions)"	"Uzbekistan"	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	5400	5369	2498	2029	2186	2189	1898	2163	..	..	..	..	..	..	..	..	2632	..	..	3438	3673	3760	3758	3934	4294	4329
